Gene
add
blc
clpS
cysG_2
dapF
dcuA
fabH1
fabV_1
gshB
hcpA_1
lpoA
luxR
luxR_2
hpt
padC
pckA
pepN
phrB
rpoS
tadA_2
tufB
tufB_2
ltxV
yjcS
