Gene
adh
aer_3
appC
argG
bhuA
bluF
clcA
cobB
ctxB
cydB_2
cysG_1
czcA
dctD_2
dltA_1
dsbD
endA
fadJ
ftsI
ftsX
ftsY_2
glmM
glsA2
gyrA
hrpB
kbl
licH
lon_3
mak
manP_2
mepM_3
murI
mutL
nagA_1
nudF_2
oppD_2
pctB_4
phhA
putA
recD
ribE
rssB_3
rstA
rtxA
skp
suhB
tamA
trmL_1
tyrA
tyrS_1
valS
ycbB
znuC
